"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Census Block Group","Company Description","Primary SIC Code","Primary NAICS","Type of Business","Latitude","Longitude"
"ALDI","ALDI INC","Marcus","Hughes","3600 S High St","Columbus","OH","43207","","Verified","1","Visit Your Columbus Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 3600 S High St To Start Saving On Quality Products.","541105","44511003","Private","039.887205","-082.996658"
"ALDI","ALDI INC","Mat","Harvey","4664 Sawmill Rd","Columbus","OH","43220","","Verified","2","Visit Your Columbus Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery At Participating Locations, OR Swing By Your Neighborhood Market At 4664 Sawmill Rd To Start Saving On Quality Products.","541105","44511003","Private","040.063232","-083.092289"
"ALDI","ALDI INC","","","5455 N High St","Columbus","OH","43214","","Verified","1","Visit Your Columbus Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 5455 N. High Street To Start Saving On Quality Products.","541105","44511003","Private","040.074183","-083.019448"
"ALDI","ALDI INC","","","5487 W Broad St","Columbus","OH","43228","","Verified","1","Visit Your Columbus Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 5487 W Broad St To Start Saving On Quality Products.","541105","44511003","Private","039.950230","-083.146223"
"ALDI","ALDI INC","","","5531 N Hamilton Rd","Columbus","OH","43230","","Verified","2","Visit Your Columbus Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 5531 N Hamilton Rd To Start Saving On Quality Products.","541105","44511003","Private","040.069505","-082.864034"
"ALDI","ALDI INC","","","2398 Stringtown Rd","Grove City","OH","43123","","Verified","1","Visit Your Grove City Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 2398 Stringtown Road To Start Saving On Quality Products.","541105","44511003","Private","039.880570","-083.066622"
"ALDI","ALDI INC","","","3945 S Hamilton Rd","Groveport","OH","43125","","Verified","3","Visit Your Groveport Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 3945 S Hamilton Rd. To Start Saving On Quality Products.","541105","44511003","Private","039.894030","-082.883410"
"ALDI","ALDI INC","","","1786 Hilliard Rome Rd","Hilliard","OH","43026","","Verified","1","Visit Your Hilliard Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 1786 Hilliard Rome Rd To Start Saving On Quality Products.","541105","44511003","Private","039.989406","-083.148821"
"ALDI","ALDI INC","","","9895 Johnstown Rd","New Albany","OH","43054","","Verified","2","Visit Your New Albany Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 9895 Johnstown Rd To Start Saving On Quality Products.","541105","44511003","Private","040.103165","-082.824360"
"ALDI","ALDI INC","","","8301 E Broad St","Reynoldsburg","OH","43068","","Verified","3","Visit Your Reynoldsburg Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 8301 E Broad St To Start Saving On Quality Products.","541105","44511003","Private","039.985413","-082.781228"
