,NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
119,Census Tract 68.22; Franklin County; Ohio,987,14,0,20,7,40,15,18,33,27,66,177,166,95,139,114,56,39,049,006822
120,Census Tract 69.10; Franklin County; Ohio,624,6,0,2,7,0,12,21,7,3,13,46,48,48,44,104,263,39,049,006910
121,Census Tract 69.21; Franklin County; Ohio,1606,124,136,93,46,79,118,55,43,16,174,257,206,143,53,49,14,39,049,006921
122,Census Tract 69.23; Franklin County; Ohio,1568,21,37,26,11,83,17,76,60,55,78,109,227,442,135,29,162,39,049,006923
123,Census Tract 69.24; Franklin County; Ohio,1720,10,9,17,76,151,78,92,165,87,378,114,235,75,85,121,27,39,049,006924
124,Census Tract 69.31; Franklin County; Ohio,2641,167,58,148,183,104,85,156,45,305,165,344,582,109,126,64,0,39,049,006931
125,Census Tract 69.32; Franklin County; Ohio,2592,373,58,282,18,147,100,89,71,161,182,205,398,148,156,106,98,39,049,006932
126,Census Tract 69.33; Franklin County; Ohio,2331,154,250,160,253,130,122,112,184,249,170,227,140,101,29,21,29,39,049,006933
127,Census Tract 69.43; Franklin County; Ohio,2049,241,162,48,128,144,101,112,76,70,120,236,249,167,91,38,66,39,049,006943
128,Census Tract 69.44; Franklin County; Ohio,1918,89,14,39,24,75,139,48,64,54,269,159,321,228,173,135,87,39,049,006944
129,Census Tract 69.45; Franklin County; Ohio,2402,111,128,280,119,224,54,99,238,81,246,383,218,182,19,20,0,39,049,006945
130,Census Tract 69.50; Franklin County; Ohio,1296,0,29,18,18,23,12,62,0,38,95,129,178,137,97,139,321,39,049,006950
131,Census Tract 69.91; Franklin County; Ohio,1731,19,16,9,0,48,21,9,12,8,119,81,251,217,117,409,395,39,049,006991
132,Census Tract 69.92; Franklin County; Ohio,2011,25,117,206,0,78,0,83,313,167,373,219,113,137,125,54,1,39,049,006992
133,Census Tract 70.10; Franklin County; Ohio,1151,7,24,0,0,25,0,88,24,0,70,165,324,110,89,92,133,39,049,007010
134,Census Tract 70.20; Franklin County; Ohio,2739,85,64,0,114,27,45,23,43,56,213,475,486,323,216,369,200,39,049,007020
